Year,Series,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2009,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,3.753584577
2010,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,3.03539916
2011,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,3.097093323
2012,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.828662038
2013,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.76106691
2014,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.870113346
2015,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.770694299
2016,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.833290382
2017,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.810408183
2018,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.768096298
2019,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.706716206
2020,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.2599465
2009,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.674722374
2010,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.03504461
2011,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.092523873
2012,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.834454478
2013,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.750661496
2014,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.828403365
2015,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.734814103
2016,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.809397567
2017,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.794166908
2018,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.763581676
2019,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.699407147
2020,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.239754214
2009,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.846592974
2010,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.5595965
2011,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.528969331
2012,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.322283703
2013,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.396963526
2014,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.459271589
2015,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.286881101
2016,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.454052438
2017,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.396586091
2018,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.410221204
2019,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.363458129
2020,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.006848694
2009,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,5.574356127
2010,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.565362302
2011,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.710682494
2012,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.398324639
2013,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.148730723
2014,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.240711733
2015,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.225851584
2016,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.201832781
2017,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.229103986
2018,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.152020829
2019,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.069212562
2020,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,3.501849057
2013,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.2572711252
2013,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.2666177275
2013,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.3673998743
2013,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.781031167
2013,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,4.846256629
2013,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,4.632807811
2013,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,2.507664515
2013,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.847003809
2013,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.705918148
2013,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,1.912037796
2013,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,3.436343075
2013,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,5.888519769
2014,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.2307402995
2014,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.4355425357
2014,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.3560762815
2014,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.8681262038
2014,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,4.257898235
2014,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,4.621434212
2014,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,2.8230928
2014,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.680386003
2014,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.516890131
2014,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,2.742650169
2014,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,3.162213145
2014,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.63689292
2015,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.2819228987
2015,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.4707890381
2015,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.4137271924
2015,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.7315492311
2015,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,3.93413852
2015,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,4.616625741
2015,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,2.396703596
2015,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.973913248
2015,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.64676013
2015,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,1.990647706
2015,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,3.572483054
2015,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.062658898
2016,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.4113591693
2016,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.3378600955
2016,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.6668760658
2016,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.9105315355
2016,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,3.569402142
2016,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,4.283228672
2016,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,3.067958885
2016,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.821184874
2016,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.614745937
2016,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,2.190615945
2016,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,3.446485416
2016,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.850255673
2017,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.3126840276
2017,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.3312024595
2017,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.3249965225
2017,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.6464272683
2017,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,3.776050025
2017,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,4.313112202
2017,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,3.215759872
2017,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.623007736
2017,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.522729561
2017,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,2.644003777
2017,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,3.338558566
2017,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.50833114
2018,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.3428006071
2018,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.2468645121
2018,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.2232694623
2018,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.7658383197
2018,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,3.699873262
2018,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,3.930040093
2018,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,3.109646122
2018,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.519025607
2018,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.685321003
2018,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,2.762623335
2018,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,3.852379798
2018,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,5.994704054
2019,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.1338009588
2019,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.0414642692
2019,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.282010989
2019,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.8102805698
2019,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,3.214867242
2019,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,3.713086376
2019,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,2.777310071
2019,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.347295298
2019,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.712738578
2019,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,2.886958123
2019,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,3.962995079
2019,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.705229866
2020,Death rate due to road traffic injuries,Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.3001696777
2020,Death rate due to road traffic injuries,Great Britain,,,5 to 7,Normal value,Units,"Rate per 100,000 population",K03000001,0.2526176451
2020,Death rate due to road traffic injuries,Great Britain,,,8 to 11,Normal value,Units,"Rate per 100,000 population",K03000001,0.2472361318
2020,Death rate due to road traffic injuries,Great Britain,,,12 to 15,Normal value,Units,"Rate per 100,000 population",K03000001,0.5235165259
2020,Death rate due to road traffic injuries,Great Britain,,,16 to 19,Normal value,Units,"Rate per 100,000 population",K03000001,2.849815765
2020,Death rate due to road traffic injuries,Great Britain,,,20 to 29,Normal value,Units,"Rate per 100,000 population",K03000001,3.318354979
2020,Death rate due to road traffic injuries,Great Britain,,,30 to 39,Normal value,Units,"Rate per 100,000 population",K03000001,2.628199357
2020,Death rate due to road traffic injuries,Great Britain,,,40 to 49,Normal value,Units,"Rate per 100,000 population",K03000001,2.231861739
2020,Death rate due to road traffic injuries,Great Britain,,,50 to 59,Normal value,Units,"Rate per 100,000 population",K03000001,2.424233677
2020,Death rate due to road traffic injuries,Great Britain,,,60 to 69,Normal value,Units,"Rate per 100,000 population",K03000001,2.13934678
2020,Death rate due to road traffic injuries,Great Britain,,,70 to 79,Normal value,Units,"Rate per 100,000 population",K03000001,2.739692397
2020,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,3.966173085
2009,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.601782277
2010,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.950090547
2011,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.001478011
2012,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.787242594
2013,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.654744845
2014,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.710036181
2015,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.670374307
2016,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.710425896
